Name,LSFormula,RT,Calc Mass,Class,FA,FA Group Key,MainIon,,,
TG(8:0_10:0_12:3)+NH4,C33 H56 O6,5.195,548.4077,TG,8:0_10:0_12:3,30:03:00,#NAME?,,,
TG(22:6_10:1_12:4) +NH4,C47 H68 O6,5.266,728.5016,TG,22:6_10:1_12:4,44:11:00,#REF!,,,
DG(10:0_12:1),C25 H46 O5,5.333,426.3345,DG,10:0_12:1,22:01,#NAME?,,,
PC(24:2_10:4),C42 H72 O8 N1 P1,5.441,749.4996,PC,24:2_10:4,34:06:00,#NAME?,,,
PG(10:1e_24:2) +NH4,C40 H75 O9 N0 P1,5.46,730.5149,PG,10:1e_24:2,34:3e,#REF!,,,
TG(4:0_20:5_22:6) +NH4,C49 H72 O6,5.467,756.5329,TG,4:0_20:5_22:6,46:11:00,#REF!,,,
PC(16:1_12:1),C36 H68 O8 N1 P1,5.474,673.4683,PC,16:1_12:1,28:02:00,#NAME?,,,
PC(16:2_20:5),C44 H74 O8 N1 P1,5.534,775.5152,PC,16:2_20:5,36:07:00,#NAME?,,,
TG(4:0_9:0_11:1) +NH4,C27 H48 O6,5.539,468.3451,TG,4:0_9:0_11:1,24:01:00,#REF!,,,
PC(20:0_8:0),C36 H72 O8 N1 P1,5.624,677.4996,PC,20:0_8:0,28:00:00,#NAME?,,,
TG(22:6_10:2_11:3) +NH4,C46 H66 O6,5.629,714.4859,TG,22:6_10:2_11:3,43:11:00,#REF!,,,
PI(18:3_18:3) +NH4,C45 H75 O13 N0 P1,5.648,854.4945,PI,18:3_18:3,36:06:00,#REF!,,,
PC(8:0_20:2),C36 H68 O8 N1 P1,5.662,673.4683,PC,8:0_20:2,28:02:00,#NAME?,,,
LPE(20:0e),C25 H54 O6 N1 P1,5.69,495.3689,LPE,20:0e,20:0e,#NAME?,,,
TG(22:6_10:4_11:2) +NH4,C46 H64 O6,5.694,712.4703,TG,22:6_10:4_11:2,43:12:00,#REF!,,,
PC(16:2_20:5),C44 H74 O8 N1 P1,5.71,775.5152,PC,16:2_20:5,36:07:00,#NAME?,,,
PS(16:3_22:6),C44 H68 O10 N1 P1,5.734,801.4581,PS,16:3_22:6,38:09:00,#NAME?,,,
PS(18:3_18:3),C42 H70 O10 N1 P1,5.741,779.4737,PS,18:3_18:3,36:06:00,#NAME?,,,
PS(16:0_18:3),C40 H72 O10 N1 P1,5.742,757.4894,PS,16:0_18:3,34:03:00,#NAME?,,,
TG(4:0_9:0_11:1) +NH4,C27 H48 O6,5.746,468.3451,TG,4:0_9:0_11:1,24:01:00,#REF!,,,
PI(18:3_18:3) +NH4,C45 H75 O13 N0 P1,5.818,854.4945,PI,18:3_18:3,36:06:00,#REF!,,,
PG(18:3_18:3) +NH4,C42 H71 O10 N0 P1,5.872,766.4785,PG,18:3_18:3,36:06:00,#REF!,,,
TG(4:0_11:2_14:4) +NH4,C32 H48 O6,5.913,528.3451,TG,4:0_11:2_14:4,29:06:00,#REF!,,,
PC(20:0_6:0),C34 H68 O8 N1 P1,5.955,649.4683,PC,20:0_6:0,26:00:00,#NAME?,,,
PC(21:1_11:3),C40 H72 O8 N1 P1,5.955,725.4996,PC,21:1_11:3,32:04:00,#NAME?,,,
PS(20:4e_15:0),C41 H74 O9 N1 P1,5.982,755.5101,PS,20:4e_15:0,35:4e,#NAME?,,,
TG(20:5_11:4_14:4) +NH4,C48 H66 O6,5.993,738.4859,TG,20:5_11:4_14:4,45:13:00,#REF!,,,
